country,year,value,unit,category
HR,2004,9860.0,Euros,GDP per capita
HU,2004,9720.0,Euros,GDP per capita
IE,2004,44110.0,Euros,GDP per capita
IT,2004,30060.0,Euros,GDP per capita
LT,2004,7980.0,Euros,GDP per capita
LU,2004,90310.0,Euros,GDP per capita
LV,2004,8070.0,Euros,GDP per capita
MT,2004,15970.0,Euros,GDP per capita
NL,2004,37550.0,Euros,GDP per capita
PL,2004,7500.0,Euros,GDP per capita
PT,2004,17250.0,Euros,GDP per capita
RO,2004,5410.0,Euros,GDP per capita
SE,2004,40680.0,Euros,GDP per capita
SI,2004,16600.0,Euros,GDP per capita
SK,2004,9640.0,Euros,GDP per capita
AT,2005,36950.0,Euros,GDP per capita
BE,2005,34830.0,Euros,GDP per capita
BG,2005,4670.0,Euros,GDP per capita
CY,2005,23100.0,Euros,GDP per capita
CZ,2005,13630.0,Euros,GDP per capita
DE,2005,32900.0,Euros,GDP per capita
DK,2005,46930.0,Euros,GDP per capita
EA20,2005,29560.0,Euros,GDP per capita
EE,2005,13210.0,Euros,GDP per capita
EL,2005,19720.0,Euros,GDP per capita
ES,2005,23690.0,Euros,GDP per capita
EU27_2020,2005,25670.0,Euros,GDP per capita
FI,2005,38330.0,Euros,GDP per capita
FR,2005,31610.0,Euros,GDP per capita
HR,2005,10270.0,Euros,GDP per capita
HU,2005,10160.0,Euros,GDP per capita
IE,2005,45600.0,Euros,GDP per capita
IT,2005,30110.0,Euros,GDP per capita
LT,2005,8740.0,Euros,GDP per capita
LU,2005,91120.0,Euros,GDP per capita
LV,2005,9110.0,Euros,GDP per capita
MT,2005,16330.0,Euros,GDP per capita
NL,2005,38220.0,Euros,GDP per capita
PL,2005,7750.0,Euros,GDP per capita
PT,2005,17350.0,Euros,GDP per capita
RO,2005,5700.0,Euros,GDP per capita
SE,2005,41670.0,Euros,GDP per capita
SI,2005,17210.0,Euros,GDP per capita
SK,2005,10260.0,Euros,GDP per capita
AT,2006,37970.0,Euros,GDP per capita
BE,2006,35480.0,Euros,GDP per capita
BG,2006,5010.0,Euros,GDP per capita
CY,2006,23790.0,Euros,GDP per capita
CZ,2006,14490.0,Euros,GDP per capita
DE,2006,34240.0,Euros,GDP per capita
DK,2006,48550.0,Euros,GDP per capita
EA20,2006,30400.0,Euros,GDP per capita
EE,2006,14590.0,Euros,GDP per capita
EL,2006,20930.0,Euros,GDP per capita
ES,2006,24260.0,Euros,GDP per capita
EU27_2020,2006,26490.0,Euros,GDP per capita
FI,2006,39720.0,Euros,GDP per capita
FR,2006,32240.0,Euros,GDP per capita
HR,2006,10790.0,Euros,GDP per capita
HU,2006,10570.0,Euros,GDP per capita
IE,2006,46650.0,Euros,GDP per capita
IT,2006,30530.0,Euros,GDP per capita
LT,2006,9530.0,Euros,GDP per capita
LU,2006,95130.0,Euros,GDP per capita
LV,2006,10370.0,Euros,GDP per capita
MT,2006,16650.0,Euros,GDP per capita
NL,2006,39510.0,Euros,GDP per capita
PL,2006,8230.0,Euros,GDP per capita
PT,2006,17600.0,Euros,GDP per capita
RO,2006,6200.0,Euros,GDP per capita
SE,2006,43340.0,Euros,GDP per capita
SI,2006,18170.0,Euros,GDP per capita
SK,2006,11170.0,Euros,GDP per capita
AT,2007,39270.0,Euros,GDP per capita
BE,2007,36520.0,Euros,GDP per capita
BG,2007,5380.0,Euros,GDP per capita
CY,2007,24480.0,Euros,GDP per capita
CZ,2007,15200.0,Euros,GDP per capita
DE,2007,35310.0,Euros,GDP per capita
DK,2007,48820.0,Euros,GDP per capita
EA20,2007,31150.0,Euros,GDP per capita
EE,2007,15790.0,Euros,GDP per capita
EL,2007,21610.0,Euros,GDP per capita
ES,2007,24640.0,Euros,GDP per capita
EU27_2020,2007,27220.0,Euros,GDP per capita
FI,2007,41650.0,Euros,GDP per capita
FR,2007,32860.0,Euros,GDP per capita
HR,2007,11340.0,Euros,GDP per capita
HU,2007,10630.0,Euros,GDP per capita
IE,2007,47670.0,Euros,GDP per capita
IT,2007,30790.0,Euros,GDP per capita
LT,2007,10720.0,Euros,GDP per capita
LU,2007,101170.0,Euros,GDP per capita
LV,2007,11540.0,Euros,GDP per capita
MT,2007,17430.0,Euros,GDP per capita
NL,2007,40960.0,Euros,GDP per capita
PL,2007,8790.0,Euros,GDP per capita
PT,2007,18010.0,Euros,GDP per capita
RO,2007,6740.0,Euros,GDP per capita
SE,2007,44430.0,Euros,GDP per capita
SI,2007,19360.0,Euros,GDP per capita
SK,2007,12360.0,Euros,GDP per capita
AT,2008,39710.0,Euros,GDP per capita
BE,2008,36400.0,Euros,GDP per capita
BG,2008,5730.0,Euros,GDP per capita
CY,2008,24740.0,Euros,GDP per capita
CZ,2008,15430.0,Euros,GDP per capita
DE,2008,35730.0,Euros,GDP per capita
DK,2008,48330.0,Euros,GDP per capita
EA20,2008,31120.0,Euros,GDP per capita
EE,2008,15030.0,Euros,GDP per capita
EL,2008,21560.0,Euros,GDP per capita
ES,2008,24420.0,Euros,GDP per capita
EU27_2020,2008,27300.0,Euros,GDP per capita
